game_urn,seq_idx,event_date_time,game_time,monster_type,dragon_type,killer_team_urn,killer_team,killer_urn,killer,assistants,pos_x,pos_y,killer_team_perid,killer_perid,upsert_at
live:lol:riot:map:esportstmnt01-3378493,35,6/16/2023 10:02 PM,718742,raptor,,live:lol:riot:team:98926509892121852,FLY,live:lol:riot:player:6669a073-89d8-38ec-a30c-8589fe7eb15f,Spica,,6932,5210,esports:team:87a6b274-b0b2-4184-b39c-52740a996f5b,esports:player:497a3c55-b43a-4dd4-abeb-894fd5c17b18,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,36,6/16/2023 10:02 PM,734397,wolf,,live:lol:riot:team:98926509892121852,FLY,live:lol:riot:player:6669a073-89d8-38ec-a30c-8589fe7eb15f,Spica,,3173,6904,esports:team:87a6b274-b0b2-4184-b39c-52740a996f5b,esports:player:497a3c55-b43a-4dd4-abeb-894fd5c17b18,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,37,6/16/2023 10:02 PM,743678,gromp,,live:lol:riot:team:98926509892121852,FLY,live:lol:riot:player:6669a073-89d8-38ec-a30c-8589fe7eb15f,Spica,,2386,8310,esports:team:87a6b274-b0b2-4184-b39c-52740a996f5b,esports:player:497a3c55-b43a-4dd4-abeb-894fd5c17b18,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,38,6/16/2023 10:03 PM,764115,krug,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,,6400,12000,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,39,6/16/2023 10:03 PM,774185,wolf,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:da579c1d-57b1-3e2e-824c-f6ee9ada19dc,Stixxay,,10956,8627,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:c5cf45d3-5fd9-4ce8-8163-e5755a5291c2,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,40,6/16/2023 10:03 PM,789675,redCamp,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,,7259,10716,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,41,6/16/2023 10:04 PM,811001,scuttleCrab,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,,4982,9053,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,42,6/16/2023 10:04 PM,839532,blueCamp,,live:lol:riot:team:98926509892121852,FLY,live:lol:riot:player:6669a073-89d8-38ec-a30c-8589fe7eb15f,Spica,,3328,7779,esports:team:87a6b274-b0b2-4184-b39c-52740a996f5b,esports:player:497a3c55-b43a-4dd4-abeb-894fd5c17b18,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,43,6/16/2023 10:04 PM,859615,raptor,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,,7965,9430,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,44,6/16/2023 10:05 PM,903548,redCamp,,live:lol:riot:team:98926509892121852,FLY,live:lol:riot:player:6669a073-89d8-38ec-a30c-8589fe7eb15f,Spica,,7540,3981,esports:team:87a6b274-b0b2-4184-b39c-52740a996f5b,esports:player:497a3c55-b43a-4dd4-abeb-894fd5c17b18,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,45,6/16/2023 10:05 PM,914298,raptor,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,,6738,4880,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,46,6/16/2023 10:06 PM,949063,riftHerald,,live:lol:riot:team:98926509892121852,FLY,live:lol:riot:player:73861425-3860-3e3f-b9f2-f725f156a53f,Prince,"Spica, VicLa, Vulcan",4844,9938,esports:team:87a6b274-b0b2-4184-b39c-52740a996f5b,esports:player:516a1db0-9b2b-478d-aa0b-2cdcbcd03aab,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,47,6/16/2023 10:06 PM,969064,wolf,,live:lol:riot:team:98926509892121852,FLY,live:lol:riot:player:6669a073-89d8-38ec-a30c-8589fe7eb15f,Spica,,3867,6121,esports:team:87a6b274-b0b2-4184-b39c-52740a996f5b,esports:player:497a3c55-b43a-4dd4-abeb-894fd5c17b18,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,48,6/16/2023 10:07 PM,988727,scuttleCrab,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,,10901,5405,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,49,6/16/2023 10:07 PM,1016366,raptor,,live:lol:riot:team:98926509892121852,FLY,live:lol:riot:player:6669a073-89d8-38ec-a30c-8589fe7eb15f,Spica,,7569,9820,esports:team:87a6b274-b0b2-4184-b39c-52740a996f5b,esports:player:497a3c55-b43a-4dd4-abeb-894fd5c17b18,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,50,6/16/2023 10:07 PM,1022829,krug,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:5b83854f-e384-3428-ba34-6e138b1619c7,Licorice,,6406,12425,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:112a2549-b3ca-4094-91f1-d5092386e9ba,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,51,6/16/2023 10:07 PM,1024930,dragon,air,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,Impact,9866,4414,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,52,6/16/2023 10:08 PM,1066465,wolf,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,,10733,8745,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,53,6/16/2023 10:08 PM,1081336,gromp,,live:lol:riot:team:98926509892121852,FLY,live:lol:riot:player:6669a073-89d8-38ec-a30c-8589fe7eb15f,Spica,,2500,8134,esports:team:87a6b274-b0b2-4184-b39c-52740a996f5b,esports:player:497a3c55-b43a-4dd4-abeb-894fd5c17b18,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,54,6/16/2023 10:08 PM,1091485,raptor,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,,7412,5083,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,55,6/16/2023 10:09 PM,1116430,redCamp,,live:lol:riot:team:98926509892121852,FLY,live:lol:riot:player:6669a073-89d8-38ec-a30c-8589fe7eb15f,Spica,,7059,11144,esports:team:87a6b274-b0b2-4184-b39c-52740a996f5b,esports:player:497a3c55-b43a-4dd4-abeb-894fd5c17b18,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,56,6/16/2023 10:09 PM,1124072,krug,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:5b83854f-e384-3428-ba34-6e138b1619c7,Licorice,,8008,2342,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:112a2549-b3ca-4094-91f1-d5092386e9ba,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,57,6/16/2023 10:09 PM,1156788,scuttleCrab,,live:lol:riot:team:98926509892121852,FLY,live:lol:riot:player:6669a073-89d8-38ec-a30c-8589fe7eb15f,Spica,,3956,9534,esports:team:87a6b274-b0b2-4184-b39c-52740a996f5b,esports:player:497a3c55-b43a-4dd4-abeb-894fd5c17b18,6/16/2023 11:04 PM
live:lol:riot:map:esportstmnt01-3378493,58,6/16/2023 10:09 PM,1158685,blueCamp,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:da579c1d-57b1-3e2e-824c-f6ee9ada19dc,Stixxay,,11364,7048,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:c5cf45d3-5fd9-4ce8-8163-e5755a5291c2,6/16/2023 11:04 PM
